  STN,YYYYMMDD,   FG,   SP,   DR,   NG 
  215,20180101,   64,    9,   35,    7
  215,20180102,   63,    9,   69,    8
  215,20180103,  114,    3,   29,    8
  215,20180104,   74,    3,   12,    7
  215,20180105,   45,    3,   23,    6
  215,20180106,   27,    9,    0,    8
  215,20180107,   70,   82,    0,    2
  215,20180108,   60,   72,    0,    3
  215,20180109,   37,   23,    0,    8
  215,20180110,   30,    0,   34,    8
  215,20180111,   19,    2,    0,    8
  215,20180112,   21,    0,    0,    8
  215,20180113,   39,    0,    0,    7
  215,20180114,   44,   46,    0,    5
  215,20180115,   82,    0,  109,    8
  215,20180116,   83,   30,   28,    7
  215,20180117,   99,   24,    9,    7
  215,20180118,   86,    7,   69,    8
  215,20180119,   56,   44,   10,    6
  215,20180120,   33,    6,   33,    6
  215,20180121,   42,   21,   47,    6
  215,20180122,   50,    9,   24,    8
  215,20180123,   65,    7,   53,    8
  215,20180124,   90,    2,   51,    8
  215,20180125,   51,   15,    0,    8
  215,20180126,   20,   42,    0,    5
  215,20180127,   60,   23,   34,    7
  215,20180128,   75,   35,    0,    8
  215,20180129,   84,    9,   22,    6
  215,20180130,   30,   66,    0,    7
  215,20180131,   76,    3,   58,    7
  215,20180201,   58,   51,   37,    6
  215,20180202,   53,   31,   37,    7
  215,20180203,   29,    0,   18,    8
  215,20180204,   55,   44,    0,    7
  215,20180205,   50,   41,    0,    5
  215,20180206,   38,   85,    0,    2
  215,20180207,   18,   90,    0,    3
  215,20180208,   32,   58,    0,    7
  215,20180209,   49,    0,   39,    8
  215,20180210,   50,   66,   38,    7
  215,20180211,   90,   47,   39,    7
  215,20180212,   61,   72,    3,    6
  215,20180213,   52,   87,    0,    2
  215,20180214,   65,   78,   10,    4
  215,20180215,   60,   45,   46,    5
  215,20180216,   37,   88,    0,    4
  215,20180217,   18,   51,    0,    4
  215,20180218,   23,   89,    0,    4
  215,20180219,   34,    0,   11,    8
  215,20180220,   25,   16,    0,    6
  215,20180221,   28,   89,    0,    0
  215,20180222,   51,   87,    0,    0
  215,20180223,   55,   73,    0,    2
  215,20180224,   70,   88,    0,    2
  215,20180225,   63,   92,    0,    0
  215,20180226,   53,   86,    0,    3
  215,20180227,   39,   83,    0,    3
  215,20180228,   71,   58,    0,    5
  215,20180301,  103,   37,    0,    8
  215,20180302,   92,   46,    0,    8
  215,20180303,   55,   26,   10,    8
  215,20180304,   45,   46,   52,    7
  215,20180305,   48,   83,    0,    7
  215,20180306,   23,   34,    0,    8
  215,20180307,   32,   13,   11,    7
  215,20180308,   69,   34,   27,    6
  215,20180309,   38,   42,   43,    7
  215,20180310,   42,   10,   65,    8
  215,20180311,   28,   29,   40,    7
  215,20180312,   37,   22,   30,    8
  215,20180313,   49,   15,   71,    8
  215,20180314,   41,   77,    0,    5
  215,20180315,   64,   25,   74,    8
  215,20180316,   59,    0,   51,    8
  215,20180317,   98,    9,    0,    8
  215,20180318,   86,   72,    0,    7
